Date,Open,High,Low,Last,Volume,Status
18/06/2006,162808,162808,162808,162808,0
25/06/2006,118352,118352,118352,118352,0
02/07/2006,88171,88171,88171,88171,0
09/07/2006,88109,88109,88109,88109,0
16/07/2006,126695,126695,126695,126695,0
23/07/2006,166920,166920,166920,166920,0
30/07/2006,137019,137019,137019,137019,0
06/08/2006,132494,132494,132494,132494,0
13/08/2006,128678,128678,128678,128678,0
20/08/2006,65284,65284,65284,65284,0
27/08/2006,56409,56409,56409,56409,0
03/09/2006,61499,61499,61499,61499,0
10/09/2006,69965,69965,69965,69965,0
17/09/2006,51081,51081,51081,51081,0
24/09/2006,63727,63727,63727,63727,0
01/10/2006,124808,124808,124808,124808,0
08/10/2006,158060,158060,158060,158060,0
15/10/2006,171146,171146,171146,171146,0
22/10/2006,187159,187159,187159,187159,0
29/10/2006,181846,181846,181846,181846,0
05/11/2006,181453,181453,181453,181453,0
12/11/2006,186009,186009,186009,186009,0
19/11/2006,194686,194686,194686,194686,0
26/11/2006,211469,211469,211469,211469,0
03/12/2006,211208,211208,211208,211208,0
10/12/2006,208695,208695,208695,208695,0
17/12/2006,219681,219681,219681,219681,0
24/12/2006,219355,219355,219355,219355,0
31/12/2006,216101,216101,216101,216101,0
07/01/2007,202026,202026,202026,202026,0
14/01/2007,185102,185102,185102,185102,0
21/01/2007,203984,203984,203984,203984,0
28/01/2007,216713,216713,216713,216713,0
04/02/2007,220117,220117,220117,220117,0
11/02/2007,206969,206969,206969,206969,0
18/02/2007,234566,234566,234566,234566,0
25/02/2007,235897,235897,235897,235897,0
04/03/2007,237759,237759,237759,237759,0
11/03/2007,210528,210528,210528,210528,0
18/03/2007,184446,184446,184446,184446,0
25/03/2007,174304,174304,174304,174304,0
01/04/2007,167370,167370,167370,167370,0
08/04/2007,112360,112360,112360,112360,0
15/04/2007,116242,116242,116242,116242,0
22/04/2007,114043,114043,114043,114043,0
29/04/2007,131997,131997,131997,131997,0
06/05/2007,143887,143887,143887,143887,0
13/05/2007,133353,133353,133353,133353,0
20/05/2007,125859,125859,125859,125859,0
27/05/2007,113809,113809,113809,113809,0
03/06/2007,102199,102199,102199,102199,0
10/06/2007,132975,132975,132975,132975,0
17/06/2007,145774,145774,145774,145774,0
24/06/2007,176229,176229,176229,176229,0
01/07/2007,138557,138557,138557,138557,0
