Date,Open,High,Low,Last,Volume,Status
07/01/1996,2564535,2564535,2564535,2564535,0
14/01/1996,2549735,2549735,2549735,2549735,0
21/01/1996,2488725,2488725,2488725,2488725,0
28/01/1996,2446710,2446710,2446710,2446710,0
04/02/1996,2466375,2466375,2466375,2466375,0
11/02/1996,2478860,2478860,2478860,2478860,0
18/02/1996,2561860,2561860,2561860,2561860,0
25/02/1996,2594610,2594610,2594610,2594610,0
03/03/1996,2559845,2559845,2559845,2559845,0
10/03/1996,2371785,2371785,2371785,2371785,0
17/03/1996,2361710,2361710,2361710,2361710,0
24/03/1996,2314215,2314215,2314215,2314215,0
31/03/1996,2325015,2325015,2325015,2325015,0
07/04/1996,2336360,2336360,2336360,2336360,0
14/04/1996,2381585,2381585,2381585,2381585,0
21/04/1996,2329930,2329930,2329930,2329930,0
28/04/1996,2155760,2155760,2155760,2155760,0
05/05/1996,2011355,2011355,2011355,2011355,0
12/05/1996,1981970,1981970,1981970,1981970,0
19/05/1996,2044325,2044325,2044325,2044325,0
26/05/1996,2097615,2097615,2097615,2097615,0
02/06/1996,2011420,2011420,2011420,2011420,0
09/06/1996,1854335,1854335,1854335,1854335,0
16/06/1996,1821105,1821105,1821105,1821105,0
23/06/1996,1749550,1749550,1749550,1749550,0
30/06/1996,1652270,1652270,1652270,1652270,0
07/07/1996,1527675,1527675,1527675,1527675,0
14/07/1996,1528075,1528075,1528075,1528075,0
21/07/1996,1545065,1545065,1545065,1545065,0
28/07/1996,1504185,1504185,1504185,1504185,0
04/08/1996,1496085,1496085,1496085,1496085,0
11/08/1996,1491190,1491190,1491190,1491190,0
18/08/1996,1515100,1515100,1515100,1515100,0
25/08/1996,1516020,1516020,1516020,1516020,0
01/09/1996,1479470,1479470,1479470,1479470,0
08/09/1996,1442910,1442910,1442910,1442910,0
15/09/1996,1452740,1452740,1452740,1452740,0
22/09/1996,1515725,1515725,1515725,1515725,0
29/09/1996,1586005,1586005,1586005,1586005,0
06/10/1996,1586045,1586045,1586045,1586045,0
13/10/1996,1602050,1602050,1602050,1602050,0
20/10/1996,1617580,1617580,1617580,1617580,0
27/10/1996,1635685,1635685,1635685,1635685,0
03/11/1996,1687625,1687625,1687625,1687625,0
